ticker,name,shares,calls_oi,puts_oi,total_oi,ratio,iv,next_earnings
A,"Agilent Technologies, Inc.",291760992.0,7256,6868,14124,0.0048,0.3553,2024-08-21
AA,Alcoa Corporation,179560992.0,119870,109514,229384,0.1277,0.5834,2024-10-16
AACT,Ares Acquisition Corporation II,50000000.0,0,0,0,0.0,,N/A
AAN,"The Aaron's Company, Inc.",31522300.0,1006,604,1610,0.0051,0.3135,2024-08-05
AAP,"Advance Auto Parts, Inc.",59622300.0,43606,57099,100705,0.1689,0.5863,2024-08-21
AAT,"American Assets Trust, Inc.",60893700.0,84,61,145,0.0002,0.5737,2024-07-30
AB,AllianceBernstein Holding L.P.,115164000.0,3906,1760,5666,0.0049,0.3257,2024-07-26
ABBV,AbbVie Inc.,1765869952.0,167841,120175,288016,0.0163,0.2857,2024-07-25
ABEV,Ambev S.A.,15726199808.0,22323,71370,93693,0.0006,0.438,2024-08-01
ABG,"Asbury Automotive Group, Inc.",20172200.0,2778,5156,7934,0.0393,0.6486,2024-07-23
ABM,ABM Industries Incorporated,62763600.0,1124,1013,2137,0.0034,0.4146,2024-09-05
ABR,"Arbor Realty Trust, Inc.",188515008.0,159434,287551,446985,0.2371,0.7963,2024-07-26
ABR,"Arbor Realty Trust, Inc.",188515008.0,159434,287551,446985,0.2371,0.7963,2024-07-26
D,"Dominion Energy, Inc.",838211008.0,64307,24197,88504,0.0106,0.2809,2024-08-01
ABR,"Arbor Realty Trust, Inc.",188515008.0,159434,287551,446985,0.2371,0.7963,2024-07-26
E,Eni S.p.A.,1588009984.0,660,100,760,0.0,0.4006,2024-07-26
ABR,"Arbor Realty Trust, Inc.",188515008.0,159434,287551,446985,0.2371,0.7963,2024-07-26
F,Ford Motor Company,3921489920.0,1582291,2139582,3721873,0.0949,0.3125,2024-07-24
ABT,Abbott Laboratories,1739629952.0,97140,96259,193399,0.0111,0.2808,2024-10-16
AC,"Associated Capital Group, Inc.",2450850.0,0,0,0,0.0,,2024-08-07
ACA,"Arcosa, Inc.",48582500.0,775,40,815,0.0017,0.5609,2024-08-01
ACCO,ACCO Brands Corporation,95639696.0,688,140,828,0.0009,0.5643,2024-08-06
ACEL,"Accel Entertainment, Inc.",82765104.0,844,38,882,0.0011,0.5781,2024-07-30
ACHR,Archer Aviation Inc.,302745984.0,345736,54720,400456,0.1323,0.7088,2024-08-08
ACI,"Albertsons Companies, Inc.",579089984.0,195591,43893,239484,0.0414,0.3952,2024-07-23
ACM,AECOM,136127008.0,5959,4580,10539,0.0077,0.395,2024-08-05
ACN,Accenture plc,626384000.0,55256,37825,93081,0.0149,0.2974,2024-09-26
ACP,Abrdn Income Credit Strategies Fund,52110000.0,0,0,0,0.0,,N/A
ACP,Abrdn Income Credit Strategies Fund,52110000.0,0,0,0,0.0,,N/A
A,"Agilent Technologies, Inc.",291760992.0,7256,6868,14124,0.0048,0.3553,2024-08-21
ACR,ACRES Commercial Realty Corp.,7958710.0,624,175,799,0.01,0.5699,2024-07-31
ACR,ACRES Commercial Realty Corp.,7958710.0,624,175,799,0.01,0.5699,2024-07-31
C,Citigroup Inc.,1925699968.0,1170497,980047,2150544,0.1117,0.3346,2024-10-15
ACR,ACRES Commercial Realty Corp.,7958710.0,624,175,799,0.01,0.5699,2024-07-31
D,"Dominion Energy, Inc.",838211008.0,64307,24197,88504,0.0106,0.2809,2024-08-01
ACRE,Ares Commercial Real Estate Corporation,54506800.0,1838,3074,4912,0.009,0.6222,2024-07-31
ACV,Virtus Diversified Income & Convertible Fund,10370600.0,0,0,0,0.0,,N/A
ADC,Agree Realty Corporation,100626000.0,991,726,1717,0.0017,0.3139,2024-07-23
ADC,Agree Realty Corporation,100626000.0,991,726,1717,0.0017,0.3139,2024-07-23
A,"Agilent Technologies, Inc.",291760992.0,7256,6868,14124,0.0048,0.3553,2024-08-21
ADCT,ADC Therapeutics SA,96225904.0,1421,446,1867,0.0019,1.0923,2024-08-06
ADM,Archer-Daniels-Midland Company,494438016.0,75152,64696,139848,0.0283,0.3482,2024-07-30
ADNT,Adient plc,89823600.0,1091,2086,3177,0.0035,0.5051,2024-08-06
ADT,ADT Inc.,855628992.0,7891,4335,12226,0.0014,0.6595,2024-08-01
ADX,"Adams Diversified Equity Fund, Inc.",124052000.0,0,0,0,0.0,,2024-08-07
AEE,Ameren Corporation,266670000.0,1636,2052,3688,0.0014,0.2832,2024-08-01
AEFC,N/A,,0,0,0,,,N/A
AEG,Aegon Ltd.,1697309952.0,1775,80,1855,0.0001,0.4517,No future earnings date available
AEM,Agnico Eagle Mines Limited,498192992.0,102603,48464,151067,0.0303,0.4659,No future earnings date available
AEO,"American Eagle Outfitters, Inc.",196430000.0,39790,23101,62891,0.032,0.5202,2024-09-04
AER,AerCap Holdings N.V.,198343008.0,10236,17146,27382,0.0138,0.4009,2024-08-01
AES,The AES Corporation,710667008.0,78463,77250,155713,0.0219,0.4816,2024-08-01
AESI,Atlas Energy Solutions Inc.,109850000.0,1188,990,2178,0.002,0.6407,No future earnings date available
AEVA,"Aeva Technologies, Inc.",52847000.0,1158,582,1740,0.0033,0.603,2024-08-07
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",28744900.0,0,0,0,0.0,,2024-09-27
AFG,"American Financial Group, Inc.",83867000.0,519,94,613,0.0007,0.3618,2024-08-06
AFGB,N/A,,0,0,0,,,N/A
AFGC,"American Financial Group, Inc.",,0,0,0,,,N/A
AFGD,"American Financial Group, Inc.",,0,0,0,,,N/A
AFGE,"American Financial Group, Inc.",,0,0,0,,,N/A
AFL,Aflac Incorporated,568222016.0,43664,24511,68175,0.012,0.3195,2024-07-31
